               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11922,            0.012717,             0.02859,             0.13845,             0.47917,             0.13552,            0.077469,             0.10194,           0.0021261,            0.030401,             0.00019,             0.00019,             0.09829
                   1,             0.11014,              0.0157,            0.028365,             0.12881,             0.34028,             0.10625,            0.043823,            0.096425,           0.0023347,            0.029285,          0.00038784,          0.00038784,            0.096488
                   2,             0.10153,            0.018682,            0.027882,             0.11003,             0.34296,            0.096143,            0.038272,            0.088886,           0.0025693,            0.027684,          0.00057701,          0.00057701,            0.094677
                   3,            0.093914,             0.02009,            0.027406,             0.13245,             0.35069,             0.10523,            0.062361,            0.085242,           0.0027259,            0.027734,          0.00075125,          0.00075125,            0.092851
                   4,            0.088569,            0.021797,            0.027127,            0.097549,             0.23958,            0.088916,            0.030927,            0.080472,           0.0028137,            0.027921,          0.00090492,          0.00090492,            0.091005
                   5,             0.08421,            0.022184,            0.026781,            0.074843,               0.375,              0.0653,            0.022833,            0.077615,           0.0028324,            0.026899,           0.0010332,           0.0010332,            0.089133
                   6,            0.081427,            0.022819,            0.026204,            0.052501,             0.39236,            0.041668,            0.012177,            0.073112,            0.002958,            0.026865,           0.0011322,           0.0011322,            0.087232
                   7,            0.076362,            0.023496,            0.025895,            0.051394,                 0.5,            0.045202,            0.013351,            0.069831,           0.0030331,            0.026845,           0.0011993,           0.0011993,            0.085299
                   8,            0.072435,            0.022677,            0.025745,            0.062884,             0.26736,            0.053457,            0.018353,            0.074473,           0.0028368,            0.026718,           0.0012334,           0.0012334,            0.083333
                   9,            0.066662,            0.022332,            0.025578,             0.12822,             0.27083,             0.10001,            0.036701,            0.072741,           0.0028457,            0.027437,           0.0012346,           0.0012346,            0.081335
                  10,             0.06088,            0.022001,            0.025188,             0.15382,               0.375,              0.1521,            0.079567,            0.066993,           0.0029269,            0.026396,           0.0012045,           0.0012045,            0.079304
                  11,            0.056754,            0.021021,            0.025069,             0.18832,             0.48958,             0.19122,            0.085205,            0.062334,            0.003057,            0.024941,           0.0011463,           0.0011463,            0.077246
                  12,            0.052709,            0.019662,            0.024292,             0.25353,             0.50694,             0.22794,             0.12202,            0.058221,            0.003291,            0.023964,           0.0010643,           0.0010643,            0.075164
                  13,            0.050029,            0.018696,            0.023699,             0.30872,             0.47222,             0.27908,             0.16285,             0.05371,           0.0035337,             0.02347,          0.00096451,          0.00096451,            0.073065
                  14,            0.048873,            0.017405,            0.023555,             0.28406,             0.56944,             0.29313,             0.18051,            0.052097,           0.0035446,             0.02273,          0.00085363,          0.00085363,            0.070954
                  15,            0.044831,            0.016246,            0.023218,             0.33854,             0.54765,             0.33319,             0.21395,             0.04805,           0.0036275,            0.022096,          0.00073945,          0.00073945,            0.068839
                  16,            0.044466,            0.015303,            0.022725,                0.38,             0.51021,             0.36297,              0.2323,            0.045941,            0.003705,            0.021916,          0.00063034,          0.00063034,             0.06673
                  17,             0.04043,            0.014198,            0.022973,             0.31335,             0.68403,             0.36663,             0.24292,            0.045148,           0.0036499,            0.022287,          0.00053508,          0.00053508,            0.064635
                  18,            0.042046,            0.014211,            0.021876,             0.29738,             0.70139,             0.35199,             0.22429,            0.047524,           0.0035007,            0.022052,          0.00046247,          0.00046247,            0.062562
                  19,            0.040159,            0.013347,            0.021831,             0.30586,             0.76042,             0.36568,             0.23637,            0.045469,           0.0034927,            0.021757,          0.00042111,          0.00042111,            0.060521
